text,label
daily mood  https://twitter.com/LIBGyal/status/1237890097409699846 …,2
I am sorry you and others have to go through this  because of this childish man,2
" Great point. But loyalty eventually has great rewards, in some cases.",1
Thank you so much sweet girl  love you!!!,0
corona virus killing sports smh ,2
"Thanks so much for making this and sharing. This makes me so sad . Innocence lost... I’m so sorry. RIP Corey Haim, forever innocent.",0
Smh its the ppl u trust most who end up betraying u ,2
My God is bigger ,0
HES SO ,3
@shivanipaliwal i love you ,0
i know we don’t know each other well but i’m always here to talk b ,0
Frame 1  https://twitter.com/diorardor/status/1237882110246940673 …,4
now this is the support I need from apple lovers,2
Have me a game tomorrow,4
Can we get a deluxe vinyl pls ,3
Three more days ,3
"Perhaps but I'm not able to play Fallout 76 that often, that's probably a lot of items for someone who's on and off the game like myself, but with Fallout 4 on the other hand. pic.twitter.com/MYE0DnczCk",1
"Done 

#pilliofampic.twitter.com/aqQ7KJifAc",0
Blocked bruh ,1
Amen Thank you ,0
"sorry for being so inactive, but I’m not feeling well enough to post content ",3
no ur not a creeper  wys https://twitter.com/yoilovebot/status/1238228444141346817 …,2
Shoutout Ohio https://twitter.com/thehill/status/1238214465822371843 …,4
Looks to me like that roll was put on the wrong way.,1
Boyyy. Pressha  lol,2
It’s happened to me twice. I hate Twitter ,4
 them bs,4
hello thereee!,4
Fridayhttps://twitter.com/french93k/status/1237490600582283264 …,0
"Why I might quit twitter.. 

Read: http://tl.gd/n_1sr5tvm",2
i wna watch khairiyah play later but i hv trg ,2
no school for 2 weeks officially its not like i was going but still,1
the power of fourth dimension ,2
I like being potato https://twitter.com/Potato_Ph/status/1237863408583626753 …,0
my aunt visiting from colombia i’m bouta put her on to sheff g ,4
Bad bad ,1
Look its this joke...  pic.twitter.com/ii8gF7KmQu,1
I get vibes from 3 + 8,1
"Hadnt seen him online all day.
Thought i was safe. 
#gohabsgo
",1
AOTY incoming fuck what you heard  https://twitter.com/isaiahrdaily/status/1237240379373572097 …,4
Up close we are different but from a far its a little concerning ,1
Deep in thought thinking about being deep in some thots,4
"Reading tea leaves, 2020  season opener at Spa, that's why ""summer break"" 

Also, enough time to raise enough money thru crowdfunding to buy out Liberty",1
i NEED that NEOW,4
Welp #Coachella2020 has been pushed back. I’m definitely annoyed now,4
"You had me at ""Hopefully Phil just leave""

",1
Lmao I ain’t tolerating no lightskin slander ive had enough! ,4
Hey! I know her! Dats my best friend....go best friend!! Lol  @errca314https://twitter.com/healthdialog/status/1237756413709090822 …,0
this song gave me nostalgia ,3
minute then ,4
"Hey! So... after mentioning adding apples to roast chicken, I started craving it.  Went ahead and made some.  Took a couple pics. So, if you want a starting point / inspiration, feel free to have a look. 
https://twitter.com/PlanetM13/status/1238240584575455232 …",1
Ahh i see. But usually there are trans of the chats too somewhere on here right...? If anyone has a link pls kindly share thank u,2
"Haii miel, I’m ivyy nice to meet u",0
I’m so glad to been there and saw you face to face ,3
Ty  & she’s spayed sadly ,3
Thank you ,0
"https://apps.apple.com/us/app/nancy-drew-codes-and-clues-mystery-coding-game/id1107704042 …
This, I'd more consider computer science? It's a coding game. Your student has to program a little robot dog to complete steps to get clues for Nancy Drew. It is well loved here.  pic.twitter.com/20K4UHDXYs",1
omg drop your location rn ,2
I know  I’m only gonna get the tire tomorrow. The alignment can wait. My car pulls to the right really hard but the tire is most important and that’ll only be $170,2
The sad truth  https://twitter.com/Half_Our_Deen/status/1237521807101444096 …,2
I’ll miss you man,2
Tough market ,2
It’s my birthday maya ,3
When I’m supposed to be starting dinner but I’m all  because NCT just texted how they made it back home safely,3
this gonna be da look to rock pic.twitter.com/tsia0sQjxW,4
same,2
Exact same thing here ,1
"Anyone else notice Mexico doesn’t have a single case of Corona Virus?? It’s because 7up, Vicks, y Sana sana colita de rana combo be undefeated. #Covid_19 #coronavirus",4
yay thanks ,3
It really do be like that ,2
stay in denial then ,2
why is it so hard to find a plug that picks up ,2
Be objective,1
My professor LITERALLY just said this.  https://twitter.com/haayliinn/status/1238235170727243778 …,4
"Huge congrats, and welcome to the OCI club too!  It's fun.",1
Solo PC Apex. Hmu if anyone wants to play ,1
but moonsun,2
craving mango chunks ,3
I would choke this woman yc!  but she might like it.. ,4
Atill waiting for u,0
love your voice. pic.twitter.com/lc4ukQHmnZ,0
noo i like it ,3
My man make sure he take care of his family and I love that about him ,0
It isn’t your fault and we support you no matter what. The show in Philly was the best! Stay safe and stay well,0
For no word from God will ever fail. —Luke 1:37,0
poop,0
Thank you Farm Sanctuary for rescuing Goodwin!  Beautiful animal!,0
"Gotta feed them kids, right? ",1
taking a short break getting food staying up tonight for a long late stream hopefully back on in about 2-3 hours from now thanks for chilling out and hope to see you latter  p.s. the new #Warzone on cod is so damn good,1
yesand u just triggered my Thalassophobia,2
"Mistake: DLC of Warzone only around 22GB,
Fornnew players, 80GB, but I'm sure @NZXT has space for the full game that's like 160GB now... n more... Heh
Give me a free PC pleez hahaha... Why shouldn't I try asking politely.",1
"Well for sure,Rachel Maddow will be live on TV crying again! ",1
"That was my first reaction too. Now that the guys are not unanimously appalled by it, I’m starting to wonder if I’m missing something ",1
4&8 cause my man said he’d buy me food but he’s busy playing ps4  https://twitter.com/Nolask_sentials/status/1238129634979577856 …,3
back on my BULLY,1
Facts I love you keep being great sis,0
right ,2
i already miss louis content and it’s only been 24hrs..... this man controls my whole life,2
I laughed.   I must admit that I kind of wanted Julian and Liz to do it when Kim slept with Drewco.,1
I am saddened to hear about your dad passing.  My condolences brother,2
We stan Nugget ,3
We might not be dating but you’re mine,4
"May 26th...

Is the day I start crying",2
It kind of was my fault tho  https://twitter.com/ilomilomp4/status/1238251173523709957 …,2
I HAVE SO MUCH LOVE FOR U!!!! my biggest supporter & my best friend 4ever  pic.twitter.com/JeN7I8RIQX,3
"you're so sweet, thank you! ",0
I hate venting about how annoying white straight men are to my bf bc he’s white and gets sensitive. ,3
when did i say you hate bts WHAT .. i said ignore hate against bts. many kpoppies ignore hate against bts but slam armys for everything and generalize them. also when did i say disrespecting groups is okay ? where ,1
im also bitches  https://twitter.com/fi3rcebel/status/1237506592485953536 …,2
"Finally! The true life story of Vin Diesel! It's gonna be AWESOME!!!
#VinDiesel #Bloodshot",1
Thank you for including me Maze!!!  @TMzedg  #KAG2020 #TRUMPTRAIN pic.twitter.com/IiW3XW7wjD,0
Can u be my girlfriend? ,3
oh bb me too  im so glad he has wayv but i miss him he deserves to be in 127,2
Sexy ,0
She is now. Dobies manage to creep over to take 3/4 of it,1
Adrian is an Enemy of progress ,1
"Excuse me sir, I didn’t give you permission to make me cry ",4
Even better,0
I think the demoncrats are going to pull Hillary from the formeldehyde,0
This is a pretty good tweet to be fair ,1
IF ANYONE (like me) WAS WONDERING WHERE U CAN BUY THESE JEANS  here u gooo —> https://m.mlb-korea.com/goods/-/-/31DPW2011-50U …https://twitter.com/yirenace/status/1236139565745766400 …,1
From where?,4
@SydneyyTayl0rr what’s a good indoor soccer facility I feel like lettin off some steam,4
Bring me ,3
"For those waiting for Sandman Kibum AU, here's Superstar Key x Hacker Minho AU  https://twitter.com/minkeyau/status/1237189133480546304 …",1
dani to the rescue with the teeth compliments thank u ,3
Bout 2 new pair of shoes. And saved $62,1
 i love you please ,3
yes or idk anddj ,3
Thank you for speaking up and sharing as well!  I love learning about different viewpoints and experiences,1
i love u tons more,0
 What was that? ,1
why are most 97 liners good looking.. this isnt fair  https://twitter.com/twinkyystar/status/1237201776937275392 …,4
"I wish, but no  just our fellow neighborhood campers",2
Everything is cancelled.  https://twitter.com/barstoolsports/status/1238166273554558983 …,2
We have field trips to areas close by getting cancelled yet they still won’t cancel school ,2
Also- to all who have never felt this sense of impending doom about an illness until coronavirus.. welcome to the brain of a hypochondriac!!! I’ve been on this anxiety wave for 25 years now,4
"idk but this song is just screaming taekook for me!! 
#taehyung #jungkook #bts #vkook #kookv #taekookpic.twitter.com/SR3VbavYZ3",3
Night ky,1
poor alucard,2
I just know everybody is buying and streaming tmrw my bby is nervous ,3
thank you pretty  we all appreciate you greatly.,0
I need a long hug ,3
Not gonna be the same without Splashford ,2
Well I definitely believe that handwritten sign with absolutely no proof or evidence ,2
sounds like han jisung ,3
"I am going thru it so hard rn,, that’s why I’m being so emotional and rantingignore me if I’m annoying",2
I will  nobody comes at my girl,4
i made one myself on videostar ,3
"IF YALL DONT DO A WEBINAR!!!!!
 https://twitter.com/independent/status/1237689414060556289 …",4
Leave scope ,1
I’m blessed,0
Kelsey don’t wanna cook me no Hi- Bitch ,3
How sad ,2
"Awwww yeyyyyy
Happy dog 

Happy ppl 

Happy dayyyzzzz!!!!! https://twitter.com/RevengeBunny/status/1237717856499806210 …",1
"Price Reduced in El Paso!  

Click below for INSTANT ACCESS to all photos, details and more!  

3 ...! 
#ElPaso #PriceReduced #CynthiaMorris #RealEstate #Realtor #Realhttps://www.searchallproperties.com/information/2735500?source=3&1803027255 …",0
This needs to be framed! ,0
But you've met him Brookie. ,1
"ugh, you never forget about me.. you’re amazing ",3
he’s sick of everyone shit  https://twitter.com/jacobbrosales/status/1238251653779906561 …,4
<ouch> ,1
it is the only way ,0
"Awh you acted sad over me yet you already had someone else , that’s so cute ",3
"Not gonna lie, I’m pretty heartbroken that the @taylorswift13 concert in ATL was canceled",2
Ain’t that a b****h  https://twitter.com/spectatorindex/status/1237508289119662080 …,2
My heart ,0
SAY YOU SWEAR NO BRO ,3
as you should ,0
Who all tryna fly somewhere seriously. I took a week off work and my other trip got cancelled . So what’s up???,4
"@cthagod

I Feel like you'd appreciate this the most. Catch that metaphor for me   
https://youtu.be/TnGSBKJytPA ",0
fine ,3
I just bought a new backpack and now y’all are telling me that classes are online next quarter?!!!! ,4
Friday the 13th,0
sorry to everyone who followed this acc for other content...this is now a beach boy hinata thirst acc  https://twitter.com/hinashouu/status/1236827913535631360 …,2
Up ATM,1
I love Ben Stiller ,3
"I don’t think people realize, us real hoopers are real deal depressed right now! Ain’t nothing funny about this mess! ",4
I hate YALLLLL ,4
The love I have for this song is unconditional  https://twitter.com/APESHITWILL/status/1236368011893841924 …,0
That's the spirit! ,1
Taco Tuesday ,0
Aswearr https://twitter.com/Kaypoisson1/status/1238244667134746626 …,1
No longer little Mac a briefcase wit a million stashed  pic.twitter.com/WTwpqvfdmh,4
"Sad, trouble soul.  ",2
I like this answer ,1
how did i just noticed that the logo on JK’s shirt is the army logo hold lemme cry  https://twitter.com/V3LMEETSEVIL/status/1237108579674488834 …,3
"just found out a friend is really into those asian drawings of women with little clothing on, what should i do? ",2
Naw foo they canceling xfl football now? Corona gotta see me I’m pissed ,4
Did I ruin the moment ,0
@madchenamick sending you so much love ,3
"everytime we call niyana boss baby , she get mad and starts yelling "" IM NIY NIY ""  i miss my baby ",3
Dude same ,1
louis was so happy ,3
Colson!!!  https://twitter.com/mattlezotte/status/1237460028862365697 …,1
We don’t need 6packs now bro #Covid_19 (corona virus) is in Ghana and you want our attention ??  https://twitter.com/_theophy/status/1238007068918980608 …,4
you were flirting with the last for a whole day and you still think you have the right to say this? ,4
Cant relate https://twitter.com/rkivesyoongi/status/1237723668597407745 …,2
Send love to this  https://twitter.com/natbcmyg/status/1237888829941354496 …,3
"Straight up, I haven’t listened to nun else but EA ",4
"breath·tak·ing

/ˈbreTHˌtākiNG/

adjective

astonishing or awe-inspiring in quality, so as to take one's breath away.

""Heejin's beauty is truly breathtaking.""pic.twitter.com/ukvErssXeC",0
I TAGGED U SO DAMI KNOWS RHEA GONNA CHEAT,4
